Fruit,Quantity_kg,Price_per_kg_in_USD,Farmer_Name,Customer_Name
Pear,82,2.9,John Smith,Holly Rayburn
Apple,139,,John Smith,Becky Pugh
Orange,73,1.12,John Smith,Brian Concepcion
Banana,147,2.39,John Smith,Brittany Crenshaw
Grape,,,John Smith,Zachary Light
Pear,113,2.31,John Smith,Michael Held
Apple,70,1.51,John Smith,Stacey Ortiz
Orange,112,2.77,John Smith,Ernest Cowley
Banana,62,2.25,John Smith,Jerry Salafia
Grape,119,2.33,John Smith,Robert Harrigan
Pear,77,2.35,John Smith,Christopher Rogers
Apple,94,,John Smith,James Howlin
Orange,149,1.06,John Smith,Billie Buchanan
Banana,52,2.3,John Smith,James Fleming
Grape,133,1.04,John Smith,Brian Mendoza
Pear,,,John Smith,Eric Rybowiak
Apple,137,2.57,John Smith,Mercedes Andrews
Orange,,1.36,John Smith,Pamela Schenkel
Banana,,1.46,John Smith,Birgit Keith
Grape,69,,John Smith,Janice Prickett
Pear,147,2.71,John Smith,Heather Hutchinson
Apple,79,1.5,John Smith,Cheri Mclendon
Orange,96,1.57,John Smith,Milton Fugate
Banana,,2.74,John Smith,Kenneth Allen
Grape,81,1,John Smith,Valerie Lovato
Pear,53,2.2,John Smith,Bryan Ryan
Apple,88,1.87,John Smith,Jack Merle
Orange,66,1.97,John Smith,Leonardo Robinson
Banana,68,1.69,John Smith,Ruth Stinson
Grape,107,1.29,John Smith,Laronda Lauze
Pear,72,,John Smith,Anita Walker
Apple,118,1.62,John Smith,Mattie Malloy
Orange,130,1.69,John Smith,Beverly Skaggs
Banana,127,1.66,John Smith,Jesse Steward
Grape,115,2.32,John Smith,Damian Villanueva
Pear,146,2.4,John Smith,Florence Boggs
Apple,112,2.2,John Smith,Robert Hawk
Orange,115,1.54,John Smith,Lewis Holt
Banana,60,1.85,John Smith,Maria Sprague
Grape,88,2.78,John Smith,Paul Martinez
Pear,63,2.48,John Smith,Jose Weddle
Apple,138,2.82,John Smith,Thomas Mattingly
Orange,115,,John Smith,Concetta Porada
Banana,120,1.95,John Smith,James Muniz
Grape,94,2.18,John Smith,Samuel Miller
Pear,,1.93,John Smith,Richard Clark
Apple,134,1.26,John Smith,Patricia Saunders
Orange,,,John Smith,Terrance Rennemeyer
Banana,97,1.74,John Smith,Kent Hoover
Grape,126,1.37,John Smith,Evia Shafer
Pear,70,1.35,John Smith,Harry Dick
Apple,117,1.1,John Smith,Terri Pennington
Orange,127,2.42,John Smith,Gerald Flynn
Banana,115,1.12,John Smith,Norman Freeman
Grape,64,2.42,John Smith,Gilbert Painter
Pear,,2.72,John Smith,Mary Campbell
Apple,143,1.7,John Smith,Jay Silva
Orange,121,2.29,John Smith,Dawn Black
Banana,,2.45,John Smith,Jennifer Gonzalez
Grape,120,2.26,John Smith,Brent Rogers
Pear,88,1.55,John Smith,Kay Boyce
Apple,123,2.07,John Smith,James Moore
Orange,80,2.16,John Smith,Eric Hedge
Banana,129,2.59,John Smith,Paul Covell
Grape,107,2.56,John Smith,Antonio Skinner
Pear,57,1.02,John Smith,Carol Brixey
Apple,120,2.54,John Smith,Michael Gionest
Orange,122,1.15,John Smith,Dick Rosado
Banana,,2.56,John Smith,Joseph Warren
Grape,83,2.01,John Smith,Angela Hollis
Pear,,2.25,John Smith,Jacob Torbus
Apple,,2.5,John Smith,Katherine Gardner
Orange,70,2.46,John Smith,Gertrude Records
Banana,75,1.83,John Smith,Michael Chinn
Grape,102,1.57,John Smith,Coralie Hall
Pear,126,1.86,John Smith,Vincent Walczak
Apple,62,2.18,John Smith,Harold Warren
Orange,89,,John Smith,Joe Reichenbach
Banana,81,2.23,John Smith,Daren Pritchard
Grape,,2.31,John Smith,Jack Flynn
Pear,62,2.32,John Smith,Larry Simmons
Apple,86,1.25,John Smith,Deborah Giordano
Orange,61,2.97,John Smith,James Broder
Banana,,1.8,John Smith,John Richards
Grape,96,1.85,John Smith,Leah Swagerty
Pear,75,2.94,John Smith,Kimberly Dowe
Apple,60,2.8,John Smith,Herbert Jahnke
Orange,87,2.93,John Smith,Robert Houston
Banana,140,,John Smith,Jessica Blakley
Grape,,1.08,John Smith,Lisa Larson
Pear,,1.55,John Smith,Joseph Adams
Apple,115,,John Smith,Bruce Reamy
Orange,55,2.76,John Smith,Paul Hou
Banana,102,1.39,John Smith,James Vigil
Grape,125,,John Smith,Sara Demaria
Pear,68,1.57,John Smith,Leslie Hollinger
Apple,143,2.81,John Smith,Timothy Tarver
Orange,124,,John Smith,Lonnie Siegel
Banana,114,2.04,John Smith,Joe Anderegg
Grape,101,2.06,John Smith,James Montez
Pear,,2.91,John Smith,Kevin Westerheide
Apple,102,2.34,John Smith,Lisa Phillips
Orange,141,2.4,John Smith,James Reeve
Banana,115,2.4,John Smith,Lola Palmer
Grape,104,2,John Smith,Carol Edwards
Pear,58,1.89,John Smith,Gary Barnes
Apple,84,1.18,John Smith,John Woodward
Orange,106,2.36,John Smith,Joanna Pendleton
Banana,116,2.78,John Smith,Tom Beck
Grape,,1.88,John Smith,Evelyn Calloway
Pear,117,1.89,John Smith,Anna Deuell
Apple,106,2.96,John Smith,Bruce Barker
Orange,94,1.25,John Smith,Barbara Blaydes
Banana,139,1.71,John Smith,Joshua Kelson
Grape,94,2.1,John Smith,Dusty Johnson
Pear,75,2.54,John Smith,Dana Miller
Apple,75,2.19,John Smith,Angie Marsh
Orange,103,1.55,John Smith,Nicola Henry
Banana,83,1.21,John Smith,Perla Rigby
Grape,,2.26,John Smith,Terra Mcintyre
Pear,78,1.33,John Smith,Jennifer Brathwaite
Apple,73,1.01,John Smith,Isidro Dequattro
Orange,,2.75,John Smith,Bobby Long
Banana,59,2.71,John Smith,Louis Pedroza
Grape,132,2.33,John Smith,John Tyrrell
Pear,62,2.5,John Smith,David Montoya
Apple,72,1.62,John Smith,Thomas Miles
Orange,124,1.01,John Smith,Jennifer Fletcher
Banana,127,2.6,John Smith,Yvette Zito
Grape,80,1.5,John Smith,James Moody
Pear,,,John Smith,Eldon Keever
Apple,71,2.11,John Smith,Bobby Brocato
Orange,67,2.96,John Smith,James Porter
Banana,121,1.71,John Smith,Yevette Montgomery
Grape,123,2.26,John Smith,Kenneth Luevano
Pear,86,2.95,John Smith,Douglas Bransford
Apple,115,1.12,John Smith,John Wenthold
Orange,115,2.74,John Smith,Elsie Williams
Banana,,,John Smith,Crystal Kinkel
Grape,149,2.7,John Smith,Assunta Hensley
Pear,113,1.76,John Smith,Sylvia Baxter
Apple,,1.74,John Smith,Olga Dawson
Orange,130,2.93,John Smith,Laura Chaidez
Banana,,2.35,John Smith,Lauren Leary
Grape,141,1.49,John Smith,Luis Johnson
Pear,126,2.13,John Smith,Erik Howard
Apple,,1.41,John Smith,Anne Leonard
Orange,77,1.72,John Smith,Evon Backer
Banana,127,2.06,John Smith,Roy Solberg
Grape,,1.27,John Smith,Michael Westray
Pear,115,1.31,John Smith,Barbra Siegel
Apple,148,1.9,John Smith,Samuel Koch
Orange,67,2.33,John Smith,Steven Simpson
Banana,142,1.56,John Smith,Cheryl Flanigan
Grape,124,1.45,John Smith,Marion Batten
Pear,90,1.46,John Smith,Elizabeth Wendolski
Apple,,2.64,John Smith,Grace Burton
Orange,98,1.51,John Smith,Richard Jaramillo
Banana,,2.1,John Smith,Natalie Fleming
Grape,112,1.62,John Smith,Kimberly Turner
Pear,120,,John Smith,Michelle Aviles
Apple,56,,John Smith,William Greenfield
Orange,137,2.43,John Smith,Jasper Reynolds
Banana,,2.18,John Smith,Lilian Albers
Grape,118,2.18,John Smith,Lupe Criss
Pear,84,1.46,John Smith,Kelly Burnett
Apple,84,2.14,John Smith,David Travis
Orange,,2.34,John Smith,Pamela Holmes
Banana,,2.76,John Smith,Loretta Abrahams
Grape,62,2.6,John Smith,Rosa Carr
Pear,146,2.94,John Smith,Eileen Colon
Apple,100,2.09,John Smith,June Reedy
Orange,96,2.95,John Smith,Scott Woods
Banana,,2.78,John Smith,Dorothy Greenberg
Grape,95,2.3,John Smith,Thomas Aquino
Pear,58,2.8,John Smith,Edwin Sublett
Apple,,1.9,John Smith,John Lambert
Orange,131,2.94,John Smith,James Day
Banana,95,2.07,John Smith,Curtis Tague
Grape,104,2.26,John Smith,Larry Lombard
Pear,,2.88,John Smith,Mary Mullen
Apple,52,1.05,John Smith,Bernadine Yadao
Orange,50,1.57,John Smith,James Ponder
Banana,,2.2,John Smith,Robbie Kelsheimer
Grape,148,2.96,John Smith,Doyle Mullett
Pear,,1.62,John Smith,Christy Collins
Apple,80,1.77,John Smith,Sherry Germon
Orange,77,2.66,John Smith,Katie Kelly
Banana,,2.38,John Smith,Donna Piner
Grape,103,2.36,John Smith,David Montgomery
Pear,110,1.68,John Smith,John Sutton
Apple,97,2.88,John Smith,Darlene Williams
Orange,58,2.62,John Smith,Mildred Mckendrick
Banana,62,2.67,John Smith,Daniel Friedman
Grape,,2.28,John Smith,Joseph Peterson
Pear,136,2.55,John Smith,Deanna Hawkins
Apple,99,2.68,John Smith,Graciela Shull
Orange,122,1.52,John Smith,Joanna Rodriguez
Banana,,,John Smith,William Israel
Grape,105,2.89,John Smith,Christopher Clark
Pear,,1.8,John Smith,Mildred Murphy
Apple,94,2.64,John Smith,Elizabeth Salazar
Orange,,,John Smith,Delbert Powell
Banana,50,1.52,John Smith,Kenneth Boyer
Grape,65,1.63,John Smith,Elsa Capito
Pear,84,1.87,John Smith,Clyde Garcia
Apple,76,1.67,John Smith,Kathy Turley
Orange,89,1.11,John Smith,Jerome Parlin
Banana,89,1.94,John Smith,Frank Patterson
Grape,100,2.08,John Smith,Patrick Crossland
Pear,126,1.73,John Smith,Allene Matthews
Apple,141,2.08,John Smith,Nancy Jackson
Orange,143,2.4,John Smith,Kim Beason
Banana,113,2.51,John Smith,Robert Robertson
Grape,112,2.73,John Smith,Robert Petersen
Pear,120,2.87,John Smith,Latoya Schneider
Apple,92,1.01,John Smith,Randy Mcwaters
Orange,59,2.72,John Smith,Mickey Lovejoy
Banana,106,1.66,John Smith,Sandra Colon
Grape,134,1.89,John Smith,Kyle Karge
Pear,120,1.18,John Smith,Thomas Wallace
Apple,82,1.21,John Smith,Joseph Aman
Orange,103,2.18,John Smith,Pat Harrington
Banana,57,1.15,John Smith,Christine Smith
Grape,54,1.93,John Smith,Adam Diaz
Pear,126,1.48,John Smith,Edith Bolton
Apple,60,2.13,John Smith,Alex Stewart
Orange,62,1.36,John Smith,Rose Ellis
Banana,,1.81,John Smith,Mathew Delgiudice
Grape,54,2.74,John Smith,Tommy Forbes
Pear,97,2.02,John Smith,Richard Jimenez
Apple,60,2.42,John Smith,Gordon Aumick
Orange,,2.13,John Smith,Nancy Donovan
Banana,52,1.8,John Smith,Lindsay Delorenzo
Grape,113,1.87,John Smith,Erin Crutchfield
Pear,129,1.4,John Smith,Janet Trippi
Apple,143,1.57,John Smith,Mary Hudson
Orange,138,2.1,John Smith,Timothy Brown
Banana,133,1.25,John Smith,Leslie Rau
Grape,100,2.72,John Smith,George Bodnar
Pear,85,2.11,John Smith,Jacqueline Coffin
Apple,68,1.13,John Smith,Erika Clark
Orange,143,2.78,John Smith,Alexandra Bumgardner
Banana,148,1.09,John Smith,Mark Diliberto
Grape,114,,John Smith,Sherise Winkle
Pear,64,,John Smith,Emily Lightfoot
Apple,57,1.23,John Smith,Brenda Koenig
Orange,124,,John Smith,Kaye Horal
Banana,53,1.72,John Smith,Earle Keys
Grape,57,1.38,John Smith,Rosemary Jess
Pear,61,1.14,John Smith,Barbara Jimenez
Apple,72,1.04,John Smith,Scott Curtis
Orange,77,,John Smith,Elizabeth Warren
Banana,103,2.86,John Smith,Marilyn Thomas
Grape,,2.01,John Smith,Rosetta Brady
Pear,61,2.55,John Smith,James Laferriere
Apple,57,2.18,John Smith,Luther Elrod
Orange,,,John Smith,Charles Jackson
Banana,87,1.03,John Smith,Mui Privette
Grape,122,1.33,John Smith,Gabriela Coffey
Pear,85,2.75,John Smith,Nora Westphal
Apple,116,,John Smith,Katie Cleland
Orange,,1.52,John Smith,Stephen Angles
Banana,,2.02,John Smith,Sandra Holland
Grape,118,2.48,John Smith,Terry Smith
Pear,119,1.4,John Smith,Marvin Miller
Apple,58,2.75,John Smith,Misty Harrison
Orange,108,1.09,John Smith,Helen Lytell
Banana,114,1.35,John Smith,Scott Sample
Grape,,1.31,John Smith,Edgar Washington
Pear,127,1.53,John Smith,Ian Hager
Apple,50,1.4,John Smith,John Mirabal
Orange,64,1.2,John Smith,Alex Tomlinson
Banana,146,1.83,John Smith,John Colace
Grape,77,1.87,John Smith,Doris Seiler
Pear,126,1.3,John Smith,Stanley Neumeyer
Apple,107,2.49,John Smith,Janie Hernandez
Orange,141,,John Smith,Darryl Coleson
Banana,71,,John Smith,Blossom Kemper
Grape,120,1.48,John Smith,Roscoe Cross
Pear,76,1.75,John Smith,David Burke
Apple,137,1.34,John Smith,Mary Patterson
Orange,57,1.89,John Smith,Deborah Lansdale
Banana,75,,John Smith,Courtney Davis
Grape,,1.88,John Smith,Justin Sooter
Pear,68,1.6,John Smith,Michelle Miller
Apple,79,2.14,John Smith,Leroy West
Orange,142,1.58,John Smith,Mary Meigs
Banana,99,1.31,John Smith,Lois Schlick
Grape,121,1.97,John Smith,Sarah Rodriguez
Pear,,2.93,John Smith,Frank Hayes
Apple,,1.42,John Smith,Robert Serna
Orange,114,2.25,John Smith,Brenda Collister
Banana,,1.19,John Smith,Sharron Stutler
Grape,142,1.75,John Smith,Alan Ledford
Pear,116,1.81,John Smith,Craig Wieczorek
Apple,75,2,John Smith,Joseph Wells
Orange,136,1.84,John Smith,Kristin Houle
Banana,53,2.16,John Smith,Donna Jones
Grape,89,2.56,John Smith,Marco Wilson
Pear,148,1.38,John Smith,Delma Kaizer
Apple,61,,John Smith,Michell Williams
Orange,108,1.89,John Smith,Andrew Vickers
Banana,68,1.58,John Smith,Julie Dunmire
Grape,81,1.15,John Smith,Mellisa Schlater
Pear,101,2.42,John Smith,Gregory Backer
Apple,,2.49,John Smith,James Emerson
Orange,,1.2,John Smith,Teresa Crawford
Banana,135,2.09,John Smith,Carol Wellman
Grape,109,2.59,John Smith,Carolyn Copas
Pear,95,2.33,John Smith,Paul Wall
Apple,113,2.97,John Smith,Bertha James
Orange,85,1.15,John Smith,Shelley Manahan
Banana,69,2.4,John Smith,Eric Knuckles
Grape,,1.05,John Smith,Nicholas Lee
Pear,50,1.94,John Smith,Rachel Parkins
Apple,144,1.16,John Smith,Alicia Mcginnis
Orange,100,2.41,John Smith,Jill Ferrell
Banana,144,1.97,John Smith,Victor Cook
Grape,85,1.84,John Smith,Elizabeth Bail
Pear,,2.83,John Smith,Milton Thomas
Apple,115,2.66,John Smith,Dixie Bolton
Orange,85,1.33,John Smith,Nancy Baylon
Banana,83,2.33,John Smith,Mark Moxley
Grape,112,2.28,John Smith,Marissa Hannasch
Pear,137,2.55,John Smith,John Sergent
Apple,,2.61,John Smith,Eva Badger
Orange,92,2.51,John Smith,Raymundo Gerry
Banana,119,1.8,John Smith,Marylou Carlin
Grape,,2.87,John Smith,John Woods
Pear,124,1.85,John Smith,Troy Fajardo
Apple,140,2.58,John Smith,Sonny Anderson
Orange,,2.95,John Smith,Moses Pate
Banana,,1.84,John Smith,Albert Williamson
Grape,88,2.99,John Smith,Michael Wilkes
Pear,94,2.65,John Smith,Anton Crittenden
Apple,58,2.32,John Smith,Cheryl Lombardi
Orange,,2,John Smith,Manuel Corell
Banana,76,2.96,John Smith,Gary Valencia
Grape,65,1.84,John Smith,Joanne Martin
Pear,,2.24,John Smith,Gary Bedolla
Apple,146,1.61,John Smith,Britt Moncayo
Orange,66,2.26,John Smith,Majorie Morton
Banana,103,2.68,John Smith,Myles Babin
Grape,119,2.24,John Smith,Christina Neher
Pear,125,2.78,John Smith,Roy Shelquist
Apple,51,1.03,John Smith,William Moore
Orange,,2.9,John Smith,Helen Eaton
Banana,133,1.94,John Smith,Michael Moreira
Grape,83,2.93,John Smith,Jesse Sanderson
Pear,112,2.95,John Smith,Mildred Corvin
Apple,63,2.62,John Smith,Celena Ellis
Orange,123,2.29,John Smith,Gary Ceja
Banana,121,1.48,John Smith,Joann Ahart
Grape,64,1.98,John Smith,Kandace Chapman
Pear,131,1.52,John Smith,Cindy Truitt
Apple,95,1.59,John Smith,Patricia Davidson
Orange,65,2.84,John Smith,Daniel Winger
Banana,147,1.94,John Smith,Keith Woods
Grape,108,2.34,John Smith,Mary Lei
Pear,,,John Smith,Tillie Green
Apple,59,2.11,John Smith,Micheal Stark
Orange,,2.11,John Smith,Arthur Hickernell
Banana,133,1.71,John Smith,Robert Siple
Grape,132,2.96,John Smith,Fausto Reavis
Pear,136,,John Smith,Helena Naquin
Apple,84,,John Smith,Mark Kuhn
Orange,107,2.22,John Smith,Kenneth Long
Banana,69,1.8,John Smith,Charles Ward
Grape,125,1.29,John Smith,Patricia Bolek
Pear,51,2.74,John Smith,Ruthie Griffis
Apple,131,2.27,John Smith,Jason Bird
Orange,60,,John Smith,Patricia Ward
Banana,115,1.77,John Smith,Joseph Ash
Grape,143,,John Smith,Eleanor Steward
Pear,86,2,John Smith,Todd Grove
Apple,136,2.85,John Smith,Kevin Mcfaul
Orange,,2.08,John Smith,Arnold Enriquez
Banana,,2.07,John Smith,Elizabeth Folse
Grape,97,2.77,John Smith,Ashley Taylor
Pear,95,2.66,John Smith,Fannie Vine
Apple,,,John Smith,Terry Ware
Orange,144,1.8,John Smith,Paul Williams
Banana,107,2.08,John Smith,Glenda Cecil
Grape,55,,John Smith,Nancy Dobbins
Pear,,1.01,John Smith,Lucy Tuholski
Apple,,1.95,John Smith,Lawrence Smith
Orange,83,2,John Smith,Patricia Wendolski
Banana,91,1.74,John Smith,Jeanette Jones
Grape,95,1.57,John Smith,Rosalinda White
Pear,138,1.87,John Smith,Karen Walters
Apple,73,1.23,John Smith,Beulah Grant
Orange,117,2.5,John Smith,Regina Snook
Banana,126,2.74,John Smith,Antonio Greco
Grape,99,1.69,John Smith,Kristopher Jordan
Pear,64,1.92,John Smith,Mark Norton
Apple,140,1.14,John Smith,Cruz Smith
Orange,,1.99,John Smith,Julian Mills
Banana,62,2.65,John Smith,Carl Ortiz
Grape,113,1.85,John Smith,Robert Tolbert
Pear,70,2.4,John Smith,Helen Arredondo
Apple,82,1.88,John Smith,Carrie Walker
Orange,,2.54,John Smith,Gary Frontz
Banana,93,2.13,John Smith,Rex Allen
Grape,116,,John Smith,Jerry Mclaughlin
Pear,138,2.46,John Smith,Ana Monaco
Apple,137,1.65,John Smith,Rene Parent
Orange,139,2.75,John Smith,Gwendolyn Bucio
Banana,51,1.65,John Smith,Esther Rose
Grape,140,1.99,John Smith,Harold Egleston
Pear,121,2.03,John Smith,Gregory Ward
Apple,140,2.42,John Smith,William Rhodes
Orange,79,2.56,John Smith,Clarence Moore
Banana,63,1.55,John Smith,Richard Wheeler
Grape,,1.04,John Smith,Lisa Clayton
Pear,144,1.2,John Smith,Sheila Lepak
Apple,78,1.31,John Smith,Raul Baldwin
Orange,91,2.7,John Smith,Cynthia Burritt
Banana,65,2.99,John Smith,Danielle Mikula
Grape,141,1.26,John Smith,Margery Stone
Pear,108,2.15,John Smith,Linda Twyman
Apple,,2.38,John Smith,Derrick Johnson
Orange,,1.86,John Smith,Candace Cook
Banana,,1.55,John Smith,Marion Graff
Grape,104,1.76,John Smith,Jeffrey Palen
Pear,95,1.38,John Smith,Mary Andrews
Apple,58,2.14,John Smith,Emma Meyer
Orange,115,1.07,John Smith,Sarah Keller
Banana,104,2.28,John Smith,Clyde Smith
Grape,,1.44,John Smith,Janet Rodriguez
Pear,83,2.59,John Smith,Zella Shedlock
Apple,133,1.91,John Smith,Sergio Berrios
Orange,100,2.5,John Smith,James Ellis
Banana,68,2.74,John Smith,Mary Roberts
Grape,75,2.63,John Smith,Richard Mallet
Pear,,1.43,John Smith,Rhonda Harr
Apple,113,2.15,John Smith,Don Pigott
Orange,112,2.89,John Smith,Corey Smith
Banana,,1.74,John Smith,Lauren Allen
Grape,,1.2,John Smith,Louisa Fox
Pear,56,2.88,John Smith,Hilton Martinez
Apple,,2.55,John Smith,Clay Kelly
Orange,127,1.36,John Smith,Martin Cianchetti
Banana,,2.18,John Smith,Rachel Carskadon
Grape,,1.23,John Smith,Gertrude Treadwell
Pear,,2.02,John Smith,Thomas Perez
Apple,86,2.66,John Smith,Loren Bogdan
Orange,75,2.62,John Smith,Amber Chapman
Banana,149,,John Smith,Louise Collazo
Grape,147,2.85,John Smith,Lynne Hopper
Pear,99,1.29,John Smith,Larry Sanchez
Apple,,2.6,John Smith,Stephen Kemper
Orange,114,2.29,John Smith,Scott Wilder
Banana,,1.46,John Smith,Robert Mcdowell
Grape,142,,John Smith,Henry Platt
Pear,96,2.66,John Smith,Adam Mcrae
Apple,,1.16,John Smith,Dawn Hokenson
Orange,73,2.03,John Smith,Gary Cobbs
Banana,96,1.68,John Smith,Vanessa Coverdale
Grape,,2.97,John Smith,Fred Miller
Pear,53,2.99,John Smith,Alia Mason
Apple,145,1.6,John Smith,Gino Armitage
Orange,110,2.27,John Smith,Cheryl Jernejcic
Banana,75,1.1,John Smith,Michelle Mertes
Grape,68,2.26,John Smith,Max Johnson
Pear,116,1.92,John Smith,Pam Chapman
Apple,,2.34,John Smith,Donald Bush
Orange,122,2.34,John Smith,Joanne Wright
Banana,143,2.5,John Smith,Linda Peachey
Grape,78,2.25,John Smith,Greg Barlow
Pear,82,2.56,John Smith,Harold Johnson
Apple,62,2.59,John Smith,Ruby Holloway
Orange,87,2.87,John Smith,Jennie Burgos
Banana,,1.52,John Smith,John Ready
Grape,,,John Smith,Jon Mclaughlin
Pear,,1.39,John Smith,Francisco Bright
Apple,123,2.31,John Smith,Matthew Smith
Orange,67,2.54,John Smith,Sonya Steward
Banana,124,2.11,John Smith,Brian Cooley
Grape,,2.08,John Smith,Carey Garrison
Pear,71,1.44,John Smith,Mark Hunsaker
Apple,144,1.5,John Smith,Juan Carleton
Orange,,2.31,John Smith,Mary Villagomez
Banana,72,1.39,John Smith,America Gonser
Grape,74,2.92,John Smith,Elizabeth Lin
Pear,121,2.06,John Smith,Richard Stonecipher
Apple,138,1.46,John Smith,Latoya Keane
Orange,146,1.71,John Smith,Dennis Badman
Banana,,1.81,John Smith,Odessa Robinette
Grape,148,2.85,John Smith,Christina Tamburo
Pear,123,,John Smith,Darryl Morris
Apple,137,2.36,John Smith,Sharon Lawson
Orange,142,,John Smith,Peggy White
Banana,143,2.23,John Smith,Ruth Glaser
Grape,147,2.31,John Smith,Brenda Harkins
Pear,64,2.04,John Smith,Gene Saccucci
Apple,114,1.36,John Smith,Beulah Thivierge
Orange,103,2.68,John Smith,Pedro Lee
Banana,128,1.44,John Smith,Barb Sooter
Grape,79,1.5,John Smith,Kelli Revilla
Pear,129,1.22,John Smith,Raymond Carter
Apple,118,2.62,John Smith,Aaron Roberts
Orange,121,2.33,John Smith,Martin Brown
Banana,131,2.71,John Smith,Vincent Blakeney
Grape,79,2.41,John Smith,Loretta Stechlinski
Pear,117,2.76,John Smith,Milton Croteau
Apple,78,2.63,John Smith,Sylvia Merritt
Orange,86,,John Smith,Nathaniel Villanueva
Banana,108,1.09,John Smith,Byron Sheley
Grape,118,1.57,John Smith,Bessie Banner
Pear,127,2.86,John Smith,Michael Franco
Apple,112,1.06,John Smith,Robert Baker
Orange,140,1.88,John Smith,Lisa Miller
Banana,,2.16,John Smith,Clarence Anglen
Grape,91,1.97,John Smith,Chris Gordon
Pear,,1.15,John Smith,Pearline Kearney
Apple,116,2.32,John Smith,Hazel Stratton
Orange,,2.29,John Smith,Clayton Davie
Banana,125,2.19,John Smith,Donna Robinson
Grape,75,1.72,John Smith,Deirdre Pine
Pear,89,1.9,John Smith,Bonnie Bankard
Apple,,2.99,John Smith,Maria Gatto
Orange,96,2.75,John Smith,Latasha Hamilton
Banana,,1.87,John Smith,Bert Bryant
Grape,,1.67,John Smith,Brenton Whitaker
Pear,132,1.72,John Smith,Sarah Flint
Apple,,1.5,John Smith,Joy Riddle
Orange,77,2.89,John Smith,Lisa Swanson
Banana,149,2.84,John Smith,Shaun Olson
Grape,122,2.9,John Smith,Amie Manzano
Pear,116,1.73,John Smith,Brenda Roberts
Apple,61,2.8,John Smith,Tammy Callahan
Orange,76,2.36,John Smith,Charles Clark
Banana,112,1.39,John Smith,Mark Gaines
Grape,,2.54,John Smith,Cynthia Hardy
Pear,140,1.72,John Smith,Kevin Dombroski
Apple,,1.35,John Smith,George Poole
Orange,121,,John Smith,Andrew Marian
Banana,110,2.12,John Smith,Ophelia Doty
Grape,140,1.08,John Smith,Ronda Cyphers
Pear,108,1.87,John Smith,Virginia Brissette
Apple,,2.49,John Smith,Hank Gray
Orange,113,2.35,John Smith,Latasha Zielonka
Banana,74,1.45,John Smith,Mercedes Henley
Grape,,1.02,John Smith,Edith Larson
Pear,55,2.09,John Smith,Judith Mitchell
Apple,,1.82,John Smith,Henry Keeler
Orange,102,2.69,John Smith,Karen Huskey
Banana,,2.33,John Smith,David Maggard
Grape,53,1.06,John Smith,Catherine Huntzinger
Pear,80,,John Smith,David Waldrep
Apple,96,1.54,John Smith,Claude Johns
Orange,50,1.63,John Smith,Albert Haza
Banana,83,2.48,John Smith,Enrique Morgan
Grape,125,1.58,John Smith,Cheryl Sauceda
Pear,50,1.66,John Smith,Joseph Barone
Apple,108,1.74,John Smith,Laura Beddo
Orange,93,1.45,John Smith,Gary Moody
Banana,109,1.85,John Smith,John Carr
Grape,136,1.85,John Smith,Andrew Thomas
Pear,119,2.62,John Smith,Lawrence Bryant
Apple,126,1.58,John Smith,Martha Wallis
Orange,74,1.68,John Smith,Kathryn Cornelius
Banana,67,2.62,John Smith,Deborah Hunter
Grape,121,1.56,John Smith,Mildred Crosslin
Pear,130,1.17,John Smith,Dean Johnson
Apple,140,1.05,John Smith,Andrea Mitchell
Orange,134,1.56,John Smith,Matthew Wilson
Banana,76,2.37,John Smith,Dortha Clark
Grape,144,2.87,John Smith,Charlie Gile
Pear,93,1.73,John Smith,Esperanza Gregory
Apple,60,1.23,John Smith,Andrew Estrada
Orange,140,1.18,John Smith,Shirley Faustini
Banana,77,2.23,John Smith,Katherine Wilcox
Grape,134,2.35,John Smith,Emma Boone
Pear,65,1.13,John Smith,Eli Underwood
Apple,123,,John Smith,Jacquelyn Dickson
Orange,,1.07,John Smith,Joshua Fields
Banana,122,2.81,John Smith,Jackie Caricofe
Grape,,1.05,John Smith,Roy Knight
Pear,,1.09,John Smith,Rodney May
Apple,128,1.66,John Smith,Mary Lakey
Orange,138,1.7,John Smith,Edna Smith
Banana,72,1.8,John Smith,Robert Cook
Grape,130,1.8,John Smith,Laura Vanderlinden
Pear,,2.5,John Smith,Stephen Smith
Apple,110,1.73,John Smith,Timothy Seal
Orange,,2.3,John Smith,Claudine Leach
Banana,115,2.53,John Smith,Cindy Holmes
Grape,110,2.32,John Smith,Margaret Welsh
Pear,134,1.19,John Smith,Stanley Clore
Apple,126,,John Smith,Helene Gomes
Orange,141,,John Smith,Beverly Lloyd
Banana,138,1.33,John Smith,Thomas Allen
Grape,,2.51,John Smith,Jonathan Hicks
Pear,89,2.74,John Smith,Ami Phelps
Apple,107,2.8,John Smith,John Rhodes
Orange,70,1.07,John Smith,Brandon Carvalho
Banana,133,2.47,John Smith,Richard Sanders
Grape,144,2.29,John Smith,Connie Gaines
Pear,91,1.07,John Smith,Eugene Walton
Apple,,1.69,John Smith,David Ballard
Orange,,2.68,John Smith,Sheryl Davis
Banana,114,2.46,John Smith,Kevin Reagan
Grape,84,1.14,John Smith,Dale Lopez
Pear,,1.33,John Smith,Kristen Craig
Apple,105,2.31,John Smith,James Gray
